year,population
2014,318.86e6
2013,316.50e6
2012,314.11e6
2011,311.72e6
2010,309.35e6
2009,306.77e6
2008,304.09e6
2007,301.23e6
2006,298.38e6
2005,295.52e6
2004,292.81e6
2003,290.11e6
2002,287.63e6
2001,284.97e6
2000,282.16e6
1999,279.04e6
1998,275.85e6
1997,272.65e6
1996,269.39e6
1995,266.28e6
1994,263.13e6
1993,259.92e6
1992,256.51e6
1991,252.98e6
1990,249.62e6
1989,246.82e6
1988,244.50e6
1987,242.29e6
1986,240.13e6
1985,237.92e6
1984,235.82e6
1983,233.79e6
1982,231.66e6
1981,229.47e6
1980,227.22e6
1979,225.06e6
1978,222.58e6
1977,220.24e6
1976,218.04e6
1975,215.97e6
1974,213.85e6
1973,211.91e6
1972,209.90e6
1971,207.66e6
1970,205.05e6
1969,202.68e6
1968,200.71e6
1967,198.71e6
1966,196.56e6
1965,194.30e6
1964,191.89e6
1963,189.24e6
1962,186.54e6
1961,183.69e6
1960,180.67e6
1959,177.83e6
1958,174.88e6
1957,171.98e6
1956,168.90e6
1955,165.93e6
1954,163.03e6
1953,160.18e6
1952,157.55e6
1951,154.88e6
1950,152.27e6
1949,149.19e6
1948,146.63e6
1947,144.13e6
1946,141.39e6
1945,139.93e6
1944,138.40e6
1943,136.74e6
1942,134.86e6
1941,133.40e6
1940,132.12e6
1939,130.88e6
1938,129.82e6
1937,128.82e6
1936,128.05e6
1935,127.25e6
1934,126.37e6
1933,125.58e6
1932,124.84e6
1931,124.04e6
1930,123.08e6
1929,121.77e6
1928,120.51e6
1927,119.04e6
1926,117.40e6
1925,115.83e6
1924,114.11e6
1923,111.95e6
1922,110.05e6
1921,108.54e6
1920,106.46e6
1919,104.51e6
1918,103.21e6
1917,103.27e6
1916,101.96e6
1915,100.55e6
1914,99.11e6
1913,97.23e6
1912,95.34e6
1911,93.86e6
1910,92.41e6
1909,90.49e6
1908,88.71e6
1907,87.01e6
1906,85.45e6
1905,83.82e6
1904,82.17e6
1903,80.63e6
1902,79.16e6
1901,77.58e6
1900,76.09e6
1899,74668165
1898,73269047
1897,71896145
1896,70548968
1895,69227035
1894,67929871
1893,66657014
1892,65408007
1891,64182404
1890,62979766
1889,61566147
1888,60184258
1887,58833385
1886,57512834
1885,56221923
1884,54959988
1883,53726378
1882,52520456
1881,51341603
1880,50189209
1879,48883375
1878,47611517
1877,46372750
1876,45166214
1875,43991069
1874,42846500
1873,41731710
1872,40645925
1871,39588390
